Fallout 2 RE	Matched function	Line	Code
0x42e6ac	void critter_flag_check()	line 59 in actions.c	if (sub_42E6AC(obj->pid, 0x4000)) {
0x48b848	GameObject* obj_blocking_at(GameObject* object, DWORD tile, DWORD elevation)	line 74 in actions.c	if (sub_48B848(obj, tile, obj->elevation) != NULL) {
0x410568	void action_blood()	line 98 in actions.c	int sub_410568(Object* obj, int anim, int delay)
0x41060c	DWORD pick_death(GameObject* attacker, GameObject* target, GameObject* weapon, DWORD amount, DWORD anim, DWORD hitFromBack)	line 127 in actions.c	int sub_41060C(Object* attacker, Object* defender, Object* weapon, int damage, int anim, bool isFallingBack)
0x42e6ac	void critter_flag_check()	line 154 in actions.c	if (sub_42E6AC(defender->pid, 0x1000)) {
0x410814	void check_death()	line 155 in actions.c	return sub_410814(defender, ANIM_EXPLODED_TO_NOTHING, VIOLENCE_LEVEL_NORMAL, isFallingBack);
0x410814	void check_death()	line 187 in actions.c	if (sub_410814(defender, deathAnim, VIOLENCE_LEVEL_MAXIMUM_BLOOD, isFallingBack) != deathAnim) {
0x410814	void check_death()	line 201 in actions.c	return sub_410814(defender, deathAnim, VIOLENCE_LEVEL_NONE, isFallingBack);
0x410814	void check_death()	line 205 in actions.c	int sub_410814(Object* obj, int anim, int minViolenceLevel, bool isFallingBack)
0x4108c8	void internal_destroy()	line 231 in actions.c	int sub_4108C8(Object* a1, Object* a2)
0x49b9a0	DWORD obj_destroy(GameObject* object)	line 233 in actions.c	return sub_49B9A0(a2);
0x4108d0	void show_damage_to_object()	line 239 in actions.c	void sub_4108D0(Object* a1, int damage, int flags, Object* weapon, bool isFallingBack, int knockbackDistance, int knockbackRotation, int a8, Object* a9, int a10)
0x42e6ac	void critter_flag_check()	line 245 in actions.c	if (sub_42E6AC(a1->pid, 0x4000)) {
0x42dd80	void critter_is_prone()	line 250 in actions.c	if (!sub_42DD80(a1)) {
0x410814	void check_death()	line 254 in actions.c	anim = sub_410814(a1, ANIM_EXPLODED_TO_NOTHING, VIOLENCE_LEVEL_MAXIMUM_BLOOD, isFallingBack);
0x410814	void check_death()	line 256 in actions.c	anim = sub_410814(a1, ANIM_ELECTRIFIED_TO_NOTHING, VIOLENCE_LEVEL_MAXIMUM_BLOOD, isFallingBack);
0x410814	void check_death()	line 258 in actions.c	anim = sub_410814(a1, a8, VIOLENCE_LEVEL_MAXIMUM_BLOOD, isFallingBack);
0x41060c	DWORD pick_death(GameObject* attacker, GameObject* target, GameObject* weapon, DWORD amount, DWORD anim, DWORD hitFromBack)	line 260 in actions.c	anim = sub_41060C(a9, a1, weapon, damage, a8, isFallingBack);
0x410568	void action_blood()	line 266 in actions.c	anim = sub_410568(a1, anim, -1);
0x412c1c	void pick_fall()	line 271 in actions.c	anim = sub_412C1C(a1, anim);
0x410568	void action_blood()	line 275 in actions.c	anim = sub_410568(a1, anim, -1);
0x4163ac	void make_straight_path()	line 292 in actions.c	sub_4163AC(a1, a1->tile, tile, NULL, &v35, 4);
0x412c1c	void pick_fall()	line 315 in actions.c	anim = sub_412C1C(a1, anim);
0x410568	void action_blood()	line 348 in actions.c	anim = sub_410568(a1, anim, a10);
0x49b8b0	void obj_drop(GameObject* source, GameObject* objectToDrop)	line 356 in actions.c	reg_anim_11_1(a1, weapon, sub_49B8B0, -1);
0x4108c8	void internal_destroy()	line 366 in actions.c	reg_anim_11_1(a1, weapon, sub_4108C8, -1);
0x49b8b0	void obj_drop(GameObject* source, GameObject* objectToDrop)	line 368 in actions.c	reg_anim_11_1(a1, weapon, sub_49B8B0, -1);
0x410e24	void show_death()	line 374 in actions.c	reg_anim_11_1(a1, (Object*)anim, (AnimationProc*)sub_410E24, -1);
0x410e24	void show_death()	line 379 in actions.c	int sub_410E24(Object* obj, int anim)
0x42e6ac	void critter_flag_check()	line 397 in actions.c	if (sub_42E6AC(obj->pid, 2048) == 0) {
0x48af2c	void obj_toggle_flat()	line 399 in actions.c	if (sub_48AF2C(obj, &v7) == 0) {
0x42e6ac	void critter_flag_check()	line 408 in actions.c	if (anim >= 30 && anim <= 31 && sub_42E6AC(obj->pid, 4096) == 0 && sub_42E6AC(obj->pid, 64) == 0) {
0x477804	void item_drop_all()	line 409 in actions.c	sub_477804(obj, obj->tile);
0x410fec	void show_damage_extras()	line 418 in actions.c	int sub_410FEC(Attack* attack)
0x413c20	void register_priority()	line 434 in actions.c	sub_413C20(1);
0x4108d0	void show_damage_to_object()	line 437 in actions.c	sub_4108D0(obj, attack->extrasDamage[index], attack->extrasFlags[index], attack->weapon, v6, attack->extrasKnockback[index], v9, v8, attack->attacker, 0);
0x4110ac	void show_damage()	line 445 in actions.c	void sub_4110AC(Attack* attack, int a2, int a3)
0x4108d0	void show_damage_to_object()	line 463 in actions.c	sub_4108D0(attack->attacker, attack->attackerDamage, attack->attackerFlags, attack->weapon, 1, 0, 0, a2, attack->attacker, -1);
0x4108d0	void show_damage_to_object()	line 465 in actions.c	sub_4108D0(attack->attacker, attack->attackerDamage, attack->attackerFlags, attack->weapon, 1, 0, 0, a2, attack->attacker, -1);
0x4108d0	void show_damage_to_object()	line 480 in actions.c	sub_4108D0(attack->defender, attack->defenderDamage, attack->defenderFlags, attack->weapon, v15, attack->defenderKnockback, v14, a2, attack->attacker, a3);
0x4108d0	void show_damage_to_object()	line 484 in actions.c	sub_4108D0(attack->defender, attack->defenderDamage, attack->defenderFlags, attack->weapon, v15, attack->defenderKnockback, v14, v17, attack->attacker, a3);
0x4108d0	void show_damage_to_object()	line 493 in actions.c	sub_4108D0(attack->attacker, attack->attackerDamage, attack->attackerFlags, attack->weapon, 1, 0, 0, a2, attack->attacker, -1);
0x411224	void action_attack()	line 499 in actions.c	int sub_411224(Attack* attack)
0x4112b4	void action_melee()	line 517 in actions.c	return sub_4112B4(attack, anim);
0x411600	void action_ranged()	line 519 in actions.c	return sub_411600(attack, anim);
0x4112b4	void action_melee()	line 524 in actions.c	int sub_4112B4(Attack* attack, int anim)
0x413c20	void register_priority()	line 537 in actions.c	sub_413C20(1);
0x42b634	void combatai_msg()	line 565 in actions.c	sub_42B634(attack->attacker, attack, AI_MESSAGE_TYPE_ATTACK, 0);
0x4110ac	void show_damage()	line 579 in actions.c	sub_4110AC(attack, anim, 0);
0x42b634	void combatai_msg()	line 611 in actions.c	sub_42B634(attack->attacker, attack, AI_MESSAGE_TYPE_HIT, -1);
0x42b634	void combatai_msg()	line 614 in actions.c	sub_42B634(attack->attacker, attack, AI_MESSAGE_TYPE_MISS, -1);
0x410fec	void show_damage_extras()	line 621 in actions.c	sub_410FEC(attack);
0x411600	void action_ranged()	line 627 in actions.c	int sub_411600(Attack* attack, int anim)
0x413c20	void register_priority()	line 633 in actions.c	sub_413C20(1);
0x478a1c	DWORD item_w_range(GameObject* critter, DWORD hitMode)	line 649 in actions.c	sub_478A1C(attack->attacker, attack->hitMode);
0x42b634	void combatai_msg()	line 666 in actions.c	sub_42B634(attack->attacker, attack, AI_MESSAGE_TYPE_ATTACK, 0);
0x45f4b4	void intface_get_item_states()	line 692 in actions.c	sub_45F4B4(&v46, &v45);
0x478154	void item_replace()	line 695 in actions.c	v50 = sub_478154(attack->attacker, weapon, weaponFlags & 0x3000000);
0x42ae90	void cAIPrepWeaponItem()	line 697 in actions.c	sub_42AE90(attack->attacker, weapon);
0x45efec	void intface_update_items(DWORD animate, DWORD modeLeft, DWORD modeRight)	line 707 in actions.c	sub_45EFEC(false, v46, v45);
