Function	Code	File
void abil_init()	if (illegalArg || (checkValidMemAddr && (args[0] < 0x410010 || args[0] > 0x4FCE34))) {	Modules\Scripting\Handlers\Memory.cpp
DWORD pick_death(GameObject* attacker, GameObject* target, GameObject* weapon, DWORD amount, DWORD anim, DWORD hitFromBack)	DWORD animDeath = fo::func::pick_death(attacker, target, weapon, damage, animation, hitBack); // vanilla pick death	Modules\HookScripts\DeathHs.cpp
void check_death()	call fo::funcoffs::check_death_; // call original function	Modules\HookScripts\DeathHs.cpp
void action_use_skill_on()	jmp  fo::funcoffs::action_use_skill_on_;	Modules\HookScripts\MiscHs.cpp
void action_talk_to()	jmp  fo::funcoffs::action_talk_to_;	Modules\PartyControl.cpp
DWORD register_begin(DWORD regType)	jmp  fo::funcoffs::register_begin_;	Modules\Animations.cpp
	jmp  fo::funcoffs::register_begin_;  // vanilla behavior	Modules\Animations.cpp
	jmp  fo::funcoffs::register_begin_;	Modules\BugFixes.cpp
	call fo::funcoffs::register_begin_;	Modules\MiscPatches.cpp
void register_clear()	call fo::funcoffs::register_clear_;	Modules\MiscPatches.cpp
DWORD register_end()	call fo::funcoffs::register_end_;	Modules\MiscPatches.cpp
DWORD register_object_animate(GameObject* object, DWORD anim, DWORD delay)	call fo::funcoffs::register_object_animate_;	Modules\Explosions.cpp
	call fo::funcoffs::register_object_animate_;	Modules\Explosions.cpp
	call fo::funcoffs::register_object_animate_; // overwritten call	Modules\Explosions.cpp
	call fo::funcoffs::register_object_animate_;	Modules\MiscPatches.cpp
	jmp  fo::funcoffs::register_object_animate_;	Modules\HookScripts\ObjectHs.cpp
	fo::func::register_object_animate_and_hide(obj, animId, delay);	Modules\Scripting\Handlers\Anims.cpp
DWORD register_object_animate_and_hide(GameObject* object, DWORD anim, DWORD delay)	call fo::funcoffs::register_object_animate_and_hide_;	Modules\Explosions.cpp
	fo::func::register_object_animate_and_hide(obj, animId, delay);	Modules\Scripting\Handlers\Anims.cpp
