section	virtual_address	name
Functions	0x410003	___begtext
Functions	0x410010	abil_init_
Functions	0x410058	abil_resize_
Functions	0x410094	abil_free_
Functions	0x4100a8	abil_find_
Functions	0x410130	abil_search_
Functions	0x410154	abil_insert_
Functions	0x41021c	abil_delete_
Functions	0x41026c	abil_copy_
Functions	0x4102b0	abil_load_
Functions	0x4102ec	abil_read_ability_data_
Functions	0x410378	abil_save_
Functions	0x4103b8	abil_write_ability_data_
Functions	0x410410	switch_dude_
Functions	0x410468	action_knockback_
Functions	0x410568	action_blood_
Functions	0x41060c	pick_death_
Functions	0x410814	check_death_
Functions	0x4108c8	internal_destroy_
Functions	0x4108d0	show_damage_to_object_
Functions	0x410e24	show_death_
Functions	0x410f48	show_damage_target_
Functions	0x410fec	show_damage_extras_
Functions	0x4110ac	show_damage_
Functions	0x411224	action_attack_
Functions	0x4112b4	action_melee_
Functions	0x4115cc	throw_change_fid_
Functions	0x411600	action_ranged_
Functions	0x411d50	use_an_object_
Functions	0x411d68	is_next_to_
Functions	0x411db4	action_climb_ladder_
Functions	0x411f2c	action_use_an_item_on_object_
Functions	0x412114	action_use_an_object_
Functions	0x412120	get_an_object_
Functions	0x412134	action_get_an_object_
Functions	0x4123e8	action_loot_container_
Functions	0x4124e0	action_skill_use_
Functions	0x412500	action_use_skill_in_combat_error_
Functions	0x41255c	action_use_skill_on_
Functions	0x412587	DOCTOR_AID
Functions	0x4125e7	LOCKPICK
Functions	0x41264c	STEAL
Functions	0x4126c0	TRAPS
Functions	0x41271d	SCIENCE_REPAIR
Functions	0x412798	SNEAK
Functions	0x4129cc	pick_object_
Functions	0x412a54	pick_hex_
Functions	0x412bc4	is_hit_from_front_
Functions	0x412bec	can_see_
Functions	0x412c1c	pick_fall_
Functions	0x412ce4	action_explode_running_
Functions	0x412cf4	action_explode_
Functions	0x413144	report_explosion_
Functions	0x4132c0	finished_explosion_
Functions	0x4132cc	compute_explosion_damage_
Functions	0x413330	action_talk_to_
Functions	0x413420	can_talk_to_
Functions	0x413488	talk_to_
Functions	0x413494	action_dmg_
Functions	0x41363c	report_dmg_
Functions	0x413660	compute_dmg_damage_
Functions	0x4136ec	action_can_be_pushed_
Functions	0x413790	action_push_critter_
Functions	0x413970	action_can_talk_to_
Functions	0x4139c0	autorun_mutex_create_
Functions	0x413a00	autorun_mutex_destroy_
Functions	0x413a20	anim_init_
Functions	0x413a40	anim_reset_
Functions	0x413ab8	anim_exit_
Functions	0x413af4	register_begin_
Functions	0x413b80	anim_free_slot_
Functions	0x413c20	register_priority_
Functions	0x413c4c	register_clear_
Functions	0x413ccc	register_end_
Functions	0x413d6c	anim_preload_
Functions	0x413d98	anim_cleanup_
Functions	0x413e2c	check_registry_
Functions	0x413ec8	anim_busy_
Functions	0x413f5c	register_object_move_to_object_
Functions	0x41405c	register_object_run_to_object_
Functions	0x414294	register_object_move_to_tile_
Functions	0x414394	register_object_run_to_tile_
Functions	0x4145d0	register_object_move_straight_to_tile_
Functions	0x4146c4	register_object_animate_and_move_straight_
Functions	0x4147b8	register_object_move_on_stairs_
Functions	0x4148f0	register_object_check_falling_
Functions	0x4149d0	register_object_animate_
Functions	0x414aa8	register_object_animate_reverse_
Functions	0x414b7c	register_object_animate_and_hide_
Functions	0x414c50	register_object_turn_towards_
